～えき,өртөө,Мэгуро өртөөнөөс алхаад ойролцоогоор 3 минут болно.,... station,めぐろ駅から あるいて ３ぷんぐらいです,It's about 3 minutes walk from Meguro station.
～えん,иен,Энэ бол 10000 иен.,... yen,"これは 10,000円です","This is 10,000 yen."
～かい,давхар,Миний өрөө 2 давхарт.,... floor,わたしの へやは 2かいです,My room is on the second floor.
～かい,удаа,Би энэ киног 2 удаа үзсэн.,... times,このえいがを 2かい みました,I watched this movie twice.
～かかん,... өдрийн турш (хугацаа),,for ... day(s),いちに、ふつか(かん)、みっかかん・・・ ,"One, two, three days"
～かげつ,... сарын турш (хугацаа),"1 сарын турш, 2 сарын турш , 3 сарын турш.",(for) ... month(s),いっか月、にか月、さんか月・・・ ,"One month, two months, three months …"
～かた,арга,Хийх аргыг нь заагаад өгөөч,how to ...,つかいかたを おしえてください,Please teach me how to use it.
～がつ,сар,"1-дүгээр сар, 2-дугаар сар, 3-дугаар сар",... month,1月、2月、3月・・・," January, February, March …"
～がります,,Хүүхдүүд диснейлэнд явахыг хүсдэг,(third person) wants to ... [「〜たい」のstem]＋[てform of がります]＋ います,こどもたちは ディズニーランドにいきたがっています,Children want to go to Disneyland.
～がわ,тал,Зүүн талд алхана.,... side,ひだりがわを あるきます,Walk on the left side.
～キロ,кг,,... kg =,1キロ、2キロ、3キロ・・・ ,"1 kg, 2 kg, 3 kg …"
～キロ,км,10 гаруй километр гүйсэн,... km = キロメートル,10キロぐらい はしりました,I ran about 10 km.
～くらい/ぐらい,"ойролцоогоор, гаруй",2 цаг орчим хичээлээ хийсэн,about ...,2じかんぐらい べんきょうしました,I studied for about 2 hours.
～グラム,грам,"1 грамм, 2 грамм, 3 грамм",... gram,"1グラム、2グラム、3グラム・・・ 1 gram, 2 gram, 3 gram ...",
～こ,* жижиг зүйл тоолох нөхцөл,,counter for small object,"いっこ、にこ、さんこ・・・ 1, 2, 3 (small objects) ...",
～ご,хэл,"Япон хэл, англи хэл, хятад хэл",... language,"にほん語、えい語、ちゅうごく語・・・ Japanese, English, Chinese ...",
～ごろ,үед,2 цагийн үед тэнд очно.,around ... (for time),2じごろに そちらに いきます,I will go there around 2 o'clock.
～さい,нас,"1 настай, 2 настай, 3 настай",... year(s) old,"いっさい、にさい、さんさい・・・ 1 year old, 2 years old, 3 years old ...",
～さつ,* ном тоолох нөхцөл,"1 ном, 2 ном, 3 Ном",counter for book,"いっさつ、にさつ、さんさつ・・・ 1 book, 2 books, 3 books ...",
～さん,"(хүн) гуай , хүндэтгэх, авгайлах","Ноён Сузуки, хатагтай Сато.","Mr., Mrs., Miss","すずきさん、さとうさん・・・ Mr. Suzuki, Ms. Sato",
～じ,цаг,Яг одоо 3 цаг болж байна,... o'clock,いま 3時です,It's 3 o'clock now.
～じかん,хугацаа,,... hour(s),"1時間、2時間、3時間・・・1 hour, 2 hours, 3 hours ...",
～しゅうかん,... долоо хоногийн турш (хугацаа),,(for) ... week(s),"1週間、2週間、3週間・・・ 1 week, 2 weeks, 3 weeks ...",
～じん,хүн,"Япон хүн, америк хүн, герман хүн","...an, ...ese","にほん人、アメリカ人、ドイツ人・・・ Japanese, American, German ...",
～すぎ,"өнгөрөх , хэтрэх, Дараа",2 цагийн дараа токиод очсон байна.,"past, over",2じすぎに とうきょうに つきます,I will arrive in Tokyo after 2 o'clock.
～ずつ,"1 бүр, Тус бүр",Энэ болон энийг тус бүрээс 2-ыг өгөөч.,... each,これと これを ２つずつ ください,Please give me two of this and two of this.
～せんせい,багш,Сүзүки багш хаана байна?,teacher,すずき先生は どこに いますか,Where is Teacher Suzuki?
～だい,* машин тоолох нөхцөл,"1 машин, 2 машин, 3 машин",counter for machine,"いちだい、にだい、さんだい・・・ one, two three (machines)",
～たち,"- ууд, -үүд, - нар (олон тоо)","Бид , хүүхдүүд, Тэд","...s, ... and others",わたしたち、こどもたち、あのひとたち,"We, Children, Those people"
～ちゅう,дунд,Одоо уулзалттай байна.,"be in middle of ..., (during) in ...",いま かいぎ中です,I'm in a meeting now.
～つ,* юмс тоолох нөхцөл,Кофеноос 3 ширхгийг өгөөч.,counter for object,コーヒーを 3つ ください,Please give me three coffees.
～ど,-удаа,Дахиад 1 удаа хэлээд өгөөч.,... time(s),もういちど いってください,Please say that again.
～にち,-ны өдөр,Өнөөдөр бол 12-ны өдөр.,"...st, ...nd, ...th",きょうは 12日です,Today is the 12th.
～にん,* хүн тоолох нөхцөл,"Ганцаараа ,2-улаа ,3-уулаа ,4-үүлээ ,тавуулаа",counter for person,"ひとり、ふたり、さん人、よ人、ご人・・・ one, two three, four, five (person)",
～ねん,* жил тоолох нөхцөл,"2030 он, 2040 он , 2050 он",... years,"2030年, 2040年, 2050年",
～はい/ばい/ぱい,* аягатай зүйл тоолох нөхцөл,"1 аяга, 2 аяга, 3 аяга",cups of ...,"いっぱい、にはい、さんばい・・・ one, two three (cup of ...)",
～はん,хагас,Одоо 9 цаг хагас болж байна.,half,いま 9じ半です,It's 9:30 now.
～ばん,дугаар,Дугаар 1 дугаар 2 дугаар 3.,No. ...,"１ばん、２ばん、３ばん・・・ No.1, No.2, No.3 ...",
～ひき/びき/ぴき,* амьтан тоолох нөхцөл,,counter for animal,"いっぴき、にひき、さんびき・・・ one (animal), two (animals), three (animals)",
～ふん/ぷん,* минут тоолох нөхцөл,"1 минут ,2 минут , 3 минут",... minute(s),"いっぷん、にふん、さんぷん・・・ 1 minute, 2 minutes, 3 minutes",
～ページ,хуудас,Хуудас 13-ыг харна уу.,... page,13ページを みてください,Please look at page 13.
～ほん/ぼん/ぽん,* урт нарийн зүйлийн т/ш хэлэх нөхцөл,Шүхэр 3 ширхэг байна.,counter for long object,かさが 3本 あります,I have three umbrellas.
～まい,* хавтгай нимгэн зүйлийн т/ш хэлэх нөхцөл,Цааснаас 1 ширхгийг өгөөч.,counter for thin object,かみを １まい ください,Please give me a piece of paper.
～まえ,"урд, өмнө",2 жилийн өмнө Японд ирсэн.,... ago,2ねん前に にほんに きました,I came to Japan two years ago. before ...
～メートル,метр,Хичээл эхлэхийн өмнө ариун цэврийн өрөө орно,... meter,１メートル、1.5メートル、２メートル ,"1 meter, 1.5 meters, 2 meters"
～や,"болон, ба","Сүшиний дэлгүүр, загасны дэлгүүр, махны дэлгүүр, тортны, дэлгүүр","... store, ... shop",すしや、さかなや、にくや、ケーキや…," Sushi shop, Fish shop, Butcher shop, Cake shop …"
あいます,уулзах,Найзтайгаа уулзана.,"see (a person), meet",ともだちに/と 会います,I will see my friend.
あおい,цэнхэр,Цэнхэр үзгэн бал.,blue [i-adj.],あおいボールペン,Blue ballpoint pen
あか,улаан [н.ү],Улаанаар бичнэ.,red [noun],赤で かきます,Write in red.
あかい,улаан [т.н],,red [i-adj.],赤いボールペン Red ballpoint pen,
あがります,өсөх,Цахилгаан шатаар 15 давхар руу өгсөнө.,go up,エレベーターで 15かいに あがります,Take the elevator to the 15th floor.
あかるい,гэрэлтэй,Энэ Өрөө бол саруулхан/ гэрэлтэй.,"bright, light [i-adj.]",このへやは あかるいです,The room is bright.
あき,намар,Би намрын улиралд дуртай.,"autumn, fall",あきが すきです,I like autumn.
あきます,нээгдэх,Хаалга нээгдэнэ.,open,ドアが あきます,The door opens.
あけます,онгойлгох,Би хаалга нээнэ.,open,わたしは ドアをあけます,I open the door.
あげます,өгөх,Би ээжийн төрсөн өдрөөр бэлэг өгсөн.,give,ははの たんじょうびに プレゼントを あげました,I gave a present on my mother's birthday.
あさ,өглөө,Би маргааш өглөө 6 цагт босно.,morning,あしたの 朝は 6じに おきます, I will get up at 6 o'clock tomorrow morning.
あさごはん,өглөөний хоол,Аль хэдийн өглөөний хоолоо идчихсэн үү.,breakfast,もう 朝ごはんを たべましたか, Have you eaten breakfast yet?
あさって,нөгөөдөр,Нөгөөдөр япон хэлний тесттэй.,the day after tomorrow,あさっては にほんごの テストです,The day after tomorrow will be a Japanese test.
あし,хөл,Тэр эмэгтэй урт хөлтэй.,"leg, foot",かのじょは足が ながいです, She has long legs.
あした,маргааш,Тэгвэл маргааш уулзъя.,tomorrow,では、また あした,See you tomorrow.
あそこ,тэнд,Тэндээс автобусанд сууна.,over there,あそこで バスに のります,Get on the bus over there.
あそびます,"хөгжилдөх, тоглох",Хүүхдүүд цэцэрлэгт хүрээлэнд сайхан тоглосон,play,こどもは よく こうえんで あそびます,Children often play in the park.
あたたかい,дулаан,Өнөөдөр өчигдрөөс дулаахан байна.,warm [i-adj.],きょうは きのうより あたたかいです,Today is warmer than yesterday.
あたま,толгой,Тэр их толгой сайтай.,head,かれは とても あたまが いいです,He is very smart.
あたらしい,шинэ,Би шинэ компьютер худалдаж авсан.,new [i-adj.],新しい コンピュータを かいました,I bought a new computer.
あちら,тээр тэнд,Орох хаалга тэнд байна.,over there 「あそこ」の more polite,いりぐちは あちらです,The entrance is over there.
あつい,халуун,Өнөөдөр халуун байна.,hot [i-adj.],きょうは あついですね,It's hot today.
あつい,зузаан,Энэ ном зузаан байна.,thick [i-adj.],このほんは あついです,This book is thick.
あと(で),"дараа, дараагаар",Өглөөний цайны дараа алхалт хийнэ.,after,あさごはんの 後で さんぽをします,I will take a walk after breakfast.
あに,ах,Миний ах Англид байгаа.,(my) older brother,あには イギリスに います,My brother is in England.
あね,эгч,Миний эгч Францад байгаа.,(my) older sister,あねは フランスに います,My sister is in France.
あの～,"тэр, нөгөө",Тэр хүн хэн бэ?,that ...,あのひとは だれですか,Who is that person?
アパート,орон сууц,Би хуучин орон сууцанд амьдардаг.,apartment,わたしは ふるいアパートにすんでいます,I live in an old apartment.
あびます,шүршүүрт орох,Өглөө шүршүүрт ордог.,take (a shower),あさ シャワーを あびます, Take a shower in the morning.
あぶない,аюултай,Энд аюултай шүү.,dangerous [i-adj.],ここは あぶないですよ,It's dangerous here.
あまい,"чихэрлэг, амттай",Энэ бялуу үнэхээр амттай байна.,sweet [i-adj.],このケーキは とても あまいです,This cake is very sweet.
あまり,"тийм ч, тийм ч их",Ном бараг уншдаггүй.,not much ...,あまり ほんを よみません,I don't read many books.
あめ,бороо,Үдээс хойш бороо орж магадгүй.,rain,ごごは たぶん 雨が ふります,It will probably rain in the afternoon.
アメリカ,Америк,Миний ах Америк руу явсан.,The United States of America,あには アメリカに いきました,My brother went to America.
あらいます,угаах,Энд гараа угаана.,wash,ここで てを あらいます, Wash your hands here.
あります,орших,Хайрцаг дотор 7 ширхэг алим байна.,be [existence],はこの なかに りんごが ななつ あります,There are seven apples in the box.
あります,байх,Өнөөдөр надад цаг байгаа.,have [possession],わたしは きょう じかんが あります,I have time today.
あるきます,алхах,Өчигдөр ажлаас гэр хүртэл алхсан.,walk,きのうは オフィスから うちまで あるきました,I walked from the office to my house yesterday.
あれ,тэр,Тэр юу вэ?,that (one),あれは なんですか,What is that?
いい,сайн,Энэ аппликейшн үнэхээр гоё.,good [i-adj.],この アプリは とても いいです,This app is very nice.
いいます,хэлэх,Дахиад 1 удаа хэлье.,"say, tell",もういちど 言います,I will say it again.
いえ,гэр,Гэрт дулаахан байна.,house,家の なかは あたたかいです,The inside of the house is warm.
いきます,явах,Дугуйгаар гэр рүүгээ явна.,go,じてんしゃで がっこうに 行きます,I go to school by bicycle.
いくつ,хэд,Хөргөгчинд хэдэн ширхэг өндөг байна вэ?,"how many, how old",れいぞうこの なかに たまごが いくつ ありますか,How many eggs are there in the fridge?
いくら,хэр их,Энэ хэд вэ?,how much,これは いくらですか,How much is this?
いけ,цөөрөм,Цөөрөм дотор үзэсгэлэнтэй загас байна.,pond,いけの なかに きれいな さかなが います,There are beautiful fish in the pond.
いしゃ,эмч,Миний аав бол эмч.,doctor = おいしゃさん。,ちちは いしゃです,My father is a doctor.
いす,сандал,Энэ сандал хүнтэй байсан.,chair,このいすは たかかったです,This chair was expensive.
いそがしい,завгүй,Өдөр бүр завгүй байна.,busy [i-adj.],このごろ まいにち いそがしいです,I'm busy these days.
いたい,"өвчтэй, өвдөж байна",Өнөөдөр толгой бага зэрэг өвдөж байна.,be painful [i-adj.],きょうは すこし あたまが いたいです,I have a slight headache today.
いち,нэг,,one,"いち、に、さん、し、ご・・・one, two, three, four, five...",
いちど,нэг удаа,Дахиад 1 удаа хэлээд өгөөч.,once,もう一ど いってください,Say that once more please.
いちにち,нэг өдөр,Өчигдөр бүтэн өдөр гэртээ байсан.,one day,きのうは 一日 うちに いました,I was at home all day yesterday.
いちばん,"хамгийн, хамгийн шилдэг",Хамгийн сайныг нь сонгоно.,the best,一ばん いいものを えらびます,Choose the best one.
いつ,хэзээ,ЧИ хэзээ токио явах вэ?,when,いつ とうきょうに いきますか,When are you going to Tokyo?
いつか,"таван өдөр, тавны өдөр",өнөөдөр 5ны өдөр,"the fifth day of the month, five days",きょうは 五日です,Today is the 5th.
いっしょ(に),"хамт, цуг",Би найзтайгаа хамт сургуульдаа явна.,together,ともだちと いっしょに がっこうに いきます,I will go to school with my friends.
いつつ,таван ширхэг,5 ширхэг алим 400 иен болно.,five,りんごは 五つ 400えんです,Five apples cost 400 yen.
いつも,"үргэлж, байнга",Би үргэлж гар утастайгаа байна.,always,いつも けいたいでんわをもっています,I always have a mobile phone.
いま,одоо,Одоо хэдэн цаг болж байна вэ?,now,今 なんじですか,What time is it now?
います,"орших , байх / хүн, амьтан/",Би одоо гэртээ байна. Надад ах дүү байгаа.,be (existence),わたしは いま いえに います,I'm at home now. have (family)
いみ,утга,Аль нь адилхан утгатай өгүүлбэр вэ?,meaning,おなじ いみのぶんは どれですか,Which sentences have the same meaning?
いもうと,охин дүү,Охин дүү маань яг одоо гэртээ байхгүй байна.,(my) younger sister,いもうとは いま いえに いません,My sister isn't at home right now.
いもうとさん,охин дүү /өөр хүний/,Охин дүү чинь хаана байна вэ?,(someone's) younger sister,いもうとさんは どこに いますか,Where is your sister?
いや,"хүсэхгүй, дургүй",Дургүй ажил ч бас байгаа.,"hateful, not likable, unpleasant [na-adj.]",いやな しごとも あります,There are also unpleasant jobs.
いりぐち,орох хаалга,Орох хаалга хаана байна вэ?,entrance,入口は どこですか,Where is the entrance?
いります,"хэрэгтэй, шаардлагатай",Надад уудах хэрэггүй.,"be necessary, must have, need",ふくろは いりません,I do not need a bag.
いれます,"хийх, оруулах",Кофендоо крем хийх үү?,put in,コーヒーに クリームを 入れますか,Would you like to add cream to your coffee?
いろ,өнгө,Та ямар өнгөнд дуртай вэ?,color,どんな いろが すきですか,What kind of color do you like?
いろいろ,"өөр өөр, янз бүр",Энэ барилга дотор янз бүрийн дэлгүүр байгаа.,various [na-adj.],この ビルの なかには いろいろな みせが あります,There are various shops in this building.
うえ,дээр,Нүдний шил ширээн дээр байна.,"on, above, top",めがねは つくえの 上に あります,The glasses are on the desk.
うしろ,ард,Дэлгэцний ард унтраалга байгаа.,"back, behind",モニターの 後ろに スイッチが あります,There is a switch on the back of the monitor.
うすい,нимгэн,Энэ ном бол нимгэн.,thin [i-adj.],このほんは うすいです,This book is thin.
うた,дуу,Энэ бол гоё дуу.,song,これは いい うたですね, This is a good song.
うたいます,дуулах,Караокед Япон дуу дуулсан.,sing,カラオケで にほんごの うたを うたいました,I sang a Japanese song at karaoke.
うち,гэр,Гэр чинь хаана вэ?,home,うちは どこですか,Where is your home?
うまれます,төрөх,Өнгөрсөн сард хүүхэд минь төрсөн.,be born,せんげつ あかちゃんが 生まれました,"Last month, a baby was born."
うみ,далай,Уулнаас илүү далайд дуртай.,sea,やまより うみが すきです,I like the sea better than the mountains.
うります,зарах,Энэ амазонд зарагдаж байгаа.,sell,Amazonで うっています,It is sold on Amazon.
うるさい,шуугиантай,Метронд чимээ ихтэй байдаг.,loud [i-adj.],ちかてつの なかは うるさいです,It's noisy in the subway.
うれしい,"аз жаргалтай, баяртай",Маш их баяртай байна.,"happy, pleased [i-adj.]",とても うれしいです,I am very happy.
うわぎ,хувцас /дээгүүр өмсдөг/,Дэлгүүрт гадуур хувцсаа мартсан.,"coat, jacket, outerwear",みせに うわぎを わすれました,I forgot my jacket at the store.
エアコン,агааржуулагч,Манай гэрт 5 ширхэг агааржуулагч бий.,air conditioner,わたしの うちには エアコンが ５だい あります,There are 5 air conditioners in my house.
えいが,кино,Өчигдөр найзтайгаа кино үзсэн.,movie,きのう ともだちと えいがを みました,I watched a movie with my friends yesterday.
えいがかん,кино театр,Шинэ кино театр руу явсан.,movie theater,あたらしい えいがかんに いきました,I went to a new movie theater.
えいご,англи хэл,Англи хэлээр ярьсан ч болох уу?,English,えいごで はなしても いいですか,May I speak in English?
えき,өртөө,Гэрээс буудал хүртэл ойролцоогоор 5 минут.,station,うちから 駅まで 5ふんぐらいです,It takes about 5 minutes from our house to the station.
えらびます,сонгох,Хамгийн сайныг нь сонгоно.,choose,いちばん いいものを えらびます,Choose the best one.
エレベーター,цахилгаан шат,Цахилгаан шат хаана байгаа вэ?,"elevator, lift",エレベーターは どこに ありますか,Where is the elevator?
えんぴつ,харандаа,Харандаагаар бичсэн ч болох уу?,pencil,えんぴつで かいても いいですか,Can I write it in pencil?
お～,,,[polite prefix],おくに、おかね、おしごと、おでんわ,Country. Money. Job. Phone.
おいしい,амттай,Энэ дэлгүүрийн гоймон амттай.,"delicious, good, tasty [i-adj.]",このみせの ラーメンは おいしいです,The ramen in this shop is delicious.
おいでになります,ирэх,Маргааш хэдэн цагт ирэх вэ?,"come, go, be [respect]",あしたは なんじに おいでになりますか,What time will you come tomorrow?
おおい,"олон, их",Энэ буудал олон өрөөтэй.,a lot of [i-adj.],このホテルは へやが 多いです,This hotel has many rooms.
おおきい,том [т.н],Том машин худалдаж авмаар байна.,big [i-adj.],大きい くるまを かいたいです,I want to buy a big car.
おおきな,том [н.ү],Том худалдааны төв рүү явмаар байна.,big 大きな[noun] = 大きい[noun],大きな ショッピングモールにいきました,I went to a big shopping mall.
おおぜい,олон хүн,Буудлын өмнө хүмүүс маш их байна.,"many (people), a great number of (people)",えきの まえに ひとが おおぜい います,There are a lot of people in front of the station.
おかあさん,ээж,Тэр залуугийн ээж бол япон хүн.,(someone's) mother,かれの お母さんは にほんじんです,His mom is Japanese.
おかし,"амттан, чихэр",Би япон чихрэнд дуртай.,"confectionery, cake, candy, sweets",にほんの おかしが すきです,I like Japanese sweets.
おかね,мөнгө,Мөнгө бол чухал.,money,お金は たいせつです,Money is important.
おきます,тавих,Цүнхээ ширээний дор тавина.,put (Group 1 verb),バッグを テーブルの したに おきます,Place the bag under the table.
おきます,сэрэх,Өдөр бүр 7 цагт босдог.,get up (Group 2 verb),まいにち 7じに おきます,It wakes up at 7 o'clock every day.
おくさん,ээж,Тэр залуугийн эхнэр маш үзэсгэлэнтэй.,(someone's) wife,かれの おくさんは とても きれいです,His wife is very pretty.
おくに,улс,Та аль улсынх вэ?,country = くに。,お国は どちらですか,Where is your country?
おくります,илгээх,Мэйлээр өгөгдлийг илгээнэ.,send,メールで データを おくります,We will send you the data by email.
おさけ,архи,заримдаа/ Үе үе архи уудаг.,"liquor, (alcoholic) drink, sake",ときどき おさけを のみます,I drink alcohol sometimes.
おさら,таваг,Том таваг 5 ширхгийг худалдаж авсан.,plate = さら。,おおきい おさらを 5まい かいました,I bought 5 large plates.
おじさん,авга ах,Авга ах чинь хэзээ Японд ирэх вэ?,uncle,おじさんは いつ にほんに きますか,When will your uncle come to Japan?
おじいさん,өвөө,Тэр залуугийн өвөө одоо Канадад байгаа.,grandfather,かれの おじいさんは いま カナダに います,His grandfather is now in Canada.
おしえます,заах,Би найздаа англи хэл заана.,"teach, tell",ともだちに えいごを おしえます,I will teach English to my friends.
おそい,"удаан, орой",Өнөөдөр хоцорлоо шүү.,late [i-adj.],きょうは おそいですね,"You are late today, aren't you?"
おそく,хоцрох,Өчигдөр орой болтол ажилласан.,late [noun],きのうは おそくまで しごとを しました,I worked late yesterday.
おちゃ,цай,Цай уухгүй биз?,tea,おちゃを のみませんか,Would you like to have a cup of tea?
おてあらい,ариун цэврийн өрөө,Ариун цэврийн өрөө хаана вэ?,"lavatory, toilet",おてあらいは どこですか,Where is the restroom?
おとうさん,аав,Аав чинь хэдэн настай вэ?,(someone's) father,お父さんは なんさいですか,How old is your father?
おとうと,эрэгтэй дүү,Миний эрэгтэй дүү бол оюутан.,(my) younger brother,おとうとは がくせいです,My younger brother is a student.
おとうとさん,эрэгтэй дүү / өөр хүний/,Эрэгтэй дүү чинь хэдэн настай вэ?,(someone's) younger brother,おとうとさんは なんさいですか,How old is your younger brother?
おとこ,эрэгтэй,Эрэгтэй 5 хүн байна.,male,男のひとが 5にん います, There are 5 men.
おとこのこ,эрэгтэй хүүхэд,Эрэгтэй хүүхэд 3 байна.,boy,男の子が 3にん います,There are 3 boys.
おととい,уржигдар,Би уржигдар найзтайгаа уулзсан.,the day before yesterday,おととい ともだちに あいました,I met my friend the day before yesterday.
おととし,уржинан жил,Уржнан жил Японд ирсэн.,the year before last,おととし にほんに きました,I came here two years ago.
おとな,насанд хүрсэн хүн,"Том хүн бол мянган иен ,хүүхэд бол 500 иен.",adult,"大人は 1,000えん、こどもは 500えんです","Adults are 1,000 yen and children are 500 yen."
おなか,гэдэс,Гэдэс өлсчихлөө.,stomach,おなかが すきました,I'm hungry.
おなじ,"адилхан, ижил",Адилхан утгатай өгүүлбэр аль нь вэ?,same,おなじ いみの ぶんは どれですか,Which sentences have the same meaning?
おにいさん,ах / өөр хүний/,Ах чинь Японд байгаа юу?,(someone's) older brother,おにいさんは にほんに いますか,Is your brother in Japan?
おにぎり,будааны бөмбөг,Комбинигоос 2 ширхэг будааны бөмбөлөг худалдаж авсан.,rice ball,コンビニで おにぎりを ふたつ かいました,I bought two rice balls at a convenience store.
おねえさん,эгч,Эгч нь юу хийдэг вэ?,(someone's) older sister,おねえさんは なにを していますか,What is your sister doing?
おばさん,нагац,Нагац чинь хэзээ Японд ирэх вэ?,aunt,おばさんは いつ にほんに きますか,When will your aunt come to Japan?
